['Uzaylı Avcısı Odin', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['2. Seviye Ejder Ateşi Vandal', 'd86e4684-47d3-9a2f-9bd4-01ae3fd3e183']
['3. Seviye Ejder Ateşi Vandal', '77569f90-4e7f-7d91-bd18-2aa12bdba709']
['4. Seviye Ejder Ateşi Vandal', '4fb025db-471f-3891-6e30-b98866abb2f9']
['Sermet Vandal', 'becdafdf-4d4b-0a8c-75d1-b8908db15ce5']
['Nitro Vandal', 'f910a11a-40ab-d799-3782-c58674f7ada0']
['KOLEKTİF VANDAL', '7383ca56-490a-f9f5-f126-5ea0dcd4a242']
['Hız Tutkunu Vandal', '5e8a67a4-42d0-d91b-7ef4-168df818b6ac']
['Yitik Vandal', '851b390a-4852-66bd-8b72-4f96f0919710']
['2. Seviye Yitik Vandal', 'bf44b39a-4f54-a919-6ed8-b5b016cf16f2']
['3. Seviye Yitik Vandal', 'e578e7ca-4066-331e-fd72-80855afa9f1f']
['4. Seviye Yitik Vandal', '9ed2bd1c-46b9-fdf5-b445-5f91d82fc441']
['Takımın Ası Vandal', '258f4b78-4286-a93b-309a-0bada49c06e1']
['ALTIN AFET VANDAL', '3d1bc8e8-4759-148c-7775-5a96e8c975fd']
['.EXE Vandal', 'c9ee9a00-453d-a358-8501-3ebb7ca3765e']
['.SYS Vandal', 'e9953add-4069-d71b-447a-a8ad94fe6526']
['UFUK VANDAL', '26eee656-4f8d-bdd3-e4fe-ae9e808a3408']
['Asil Vandal', 'c9678d8c-4327-f397-b0ec-dca3c3d6fb15']
['2. Seviye Asil Vandal', 'c6f9c7ef-4a35-fa14-c9ed-bd80e37be826']
['3. Seviye Asil Vandal', 'fc332008-475f-5555-0155-4cb3bce714ff']
['4. Seviye Asil Vandal', '22821a32-4e04-ad4a-1893-95904c08b264']
['BUZUL VANDAL', 'fbfc273b-4c12-961a-a4fb-978b43be81a9']
['Prizma II Vandal', 'd0c07243-4afa-decc-7c5b-4b994f1321ee']
['K/TAK VANDAL', '5c21371e-46e1-a0b2-2e49-728281cfaaed']
['Unutulmaz Vandal', 'a2a15c4e-4102-41bd-102d-378dec6cee7f']
['GÖSTERİŞLİ VANDAL', '1878bbc9-409e-66b4-346b-c3997a54df57']
['SILVANUS VANDAL', '9d501eec-4084-5d44-32ef-6e8ed5b0ed49']
['Kızıl Musibet Vandal', 'aae492eb-4d6d-097d-1d47-4fa31ced9751']
['2. Seviye Kızıl Musibet Vandal - Her skorda aktifleşen özel görsel efekt ve ses', '7c3e8050-40ce-9a75-c1ef-7fa270990ceb']
['İyon Vandal', 'a8c10620-46a8-794e-be55-a0a13edb8d44']
['2. Seviye İyon Vandal', '3db5cce4-41e7-b538-4d0d-82bd64362480']
['3. Seviye İyon Vandal', 'fefee60e-4270-0ea8-6187-3aaf57196b05']
['4. Seviye İyon Vandal', 'cc63e209-471d-26e8-4b8c-b9aba3bb1b32']
['Soğuk Çelik Vandal', '690bcddd-4b2e-d856-7b4f-0e81f7c21133']
['2. Seviye Soğuk Çelik Vandal', 'd6f6111f-467a-addd-25fa-f9ac9d01d8f9']
['3. Seviye Soğuk Çelik Vandal', '14f8c385-4ed1-e5a1-f129-6c8914bd16af']
['Ay Tavşanı Vandal', 'f77b8cbc-46ca-549b-b3a1-92884c2a2645']
['Şenlik Vandal', 'f4bfff96-487a-cf9e-08cc-d590d962c4e6']
['Rasgele Favori Kaplama', 'b5f4ed55-4e7f-f561-b365-5397f9e5890b']
['Sakura Vandal', '3aeef60b-48fb-02aa-31b1-068aeb351213']
['Şematik Vandal', '76c30002-4884-8193-dcf6-93a00b10bc15']
['Gümüş Avcı Vandal', 'f158e7d9-4404-1e88-747e-bf98da9a744b']
['Işık Muhafızları Vandal', '968efd06-4549-65f4-9fb1-3f90d612e428']
['2. Seviye Işık Muhafızları Vandal', 'bfa45341-4338-5ebd-3bec-8d95f6c6feb4']
['3. Seviye Işık Muhafızları Vandal', 'd8b58c68-45e6-65f4-01bd-6baaeeef667f']
['4. Seviye Işık Muhafızları Vandal', 'e0dfb9d6-42a4-1463-cc80-00ac9df10c9e']
['Yağmacı Vandal', 'ba42fe63-457a-78ce-4499-47950a698129']
['2. Seviye Yağmacı Vandal', '6f9ba692-4618-d0e6-3099-42b4dc5fce89']
['3. Seviye Yağmacı Vandal', '98597b95-451c-70cf-46fb-31b4c5a54394']
['4. Seviye Yağmacı Vandal', '8c282914-446a-3e99-095a-cd97df201c8b']
['ÇAPRAŞIK ÂLEMLER VANDAL', '1d2e2fd5-4fef-61f2-a4ec-92819d16fcf2']
['Süvari Vandal', '8017a235-48d8-9f2a-42c2-7a865157c587']
['Demirdiken Vandal', '17f044eb-4016-5f86-f4f7-1095cc292a15']
['VANDAL', '1ab72e66-4da3-33a0-164f-908113e075a4']
['SUALTI VANDAL', 'bd1b4801-4bf2-1444-82ce-3ca3636159d4']
['Ego Vandal', '94cf6dd4-42c5-f70e-1652-dca05fa42ad6']
['Viran Vandal', 'a6d41f01-4b8b-444d-b9da-3eaaf3d7e262']
['Kış Harikası Vandal', '496b0096-4000-c1fc-102d-70a8b769d0d1']
['Yıldız Belası Bulldog', '45e51d17-480a-6e28-cdd2-459d7758bea8']
['2. Seviye Yıldız Belası Bulldog', '5df3789a-47df-8dc2-91bb-41aa6335346d']
['3. Seviye Yıldız Belası Bulldog', 'e9e02c90-43c9-f33d-7f11-16a14f51149c']
['4. Seviye Yıldız Belası Bulldog', '1dcac15f-4bc2-b6b8-bada-f4b0f2cd088c']
['ARİSTOKRAT BULLDOG', '3bf9d39f-46b4-ba23-e079-488d799b9416']
['Ufkun Sınırı Bulldog', '38dbcca0-493d-70eb-ef89-d281f33efc94']
['Spectrum Bulldog', '43854c54-4263-571c-9be6-52b6d50d3190']
['2. Seviye Spectrum Bulldog', 'd022056d-4739-4cf3-4c18-c893948303a1']
['3. Seviye Spectrum Bulldog', '674ca080-4624-3550-d1f3-dfac17d40918']
['4. Seviye Spectrum Bulldog', 'c6ad47ec-4078-2902-fdfe-2eae352bf4f4']
['Hücum Bulldog', '842dbe37-4bc7-95b3-26d7-a0af65615d5e']
['Rün Cevheri Bulldog', '85e74e8f-4360-2961-dd91-52bb854e495f']
['Altşehir Bulldog', '89b68205-4fe5-2434-a731-e5a734bd4a7a']
['Delipop Bulldog', '4a5ad8cd-4684-a47c-b393-ce9c6760d21a']
['2. Seviye Delipop Bulldog', '44c5b5cc-4931-b4af-1a4a-17ab9ec2b89e']
['3. Seviye Delipop Bulldog', '49ea5740-4731-01c5-a68e-cba6b86b1049']
['4. Seviye Delipop Bulldog', 'd83d2283-4c50-ee72-3a8b-51b6a05aed15']
['AKINCI BULLDOG', '8e032580-414f-7ab4-7efb-f6ac7d2bc2f1']
['Hızlı ve Ölümcül Bulldog', '7561a8e0-4cc4-8644-a88b-48a88790b36f']
['Simli Bulldog', '41a683ee-4d8d-51cb-db4f-06bfb2371d86']
['UFUK BULLDOG', '079f6046-49c3-72e3-bcfa-a5b6d01910dc']
['K/TAK BULLDOG', 'ddf3064f-4c05-d0fb-2f62-f8be055cb934']
['ÖZEL TASARIM BULLDOG', '49fc11b3-40a9-29ff-a701-63a6f59e2a0f']
['Unutulmaz Bulldog', '47815b56-43d7-1312-8b3e-5da445f71e31']
['Başlangıç Bulldog', 'c5711665-4126-fa98-510f-5f8c82f52911']
['Soğuk Çelik Bulldog', '40f6c0c2-4ad2-6864-a0e6-2e852615f991']
['2. Seviye Soğuk Çelik Bulldog', 'ed3b769b-47af-7b34-7e16-5a9ff7c119cc']
['3. Seviye Soğuk Çelik Bulldog', '8946d843-447b-ad44-3cce-44bb3c88489c']
['Alaca Bulldog', '9db51105-45a7-d05e-6d7d-08962c65c386']
['KÜBİK TİLKİ BULLDOG', '0fce64bd-42c9-1755-8c67-e3a8cdd49de7']
['Protokol 781-A Bulldog', '544ddf0f-42c6-e410-c9db-fc8b3b2c84d4']
['2. Seviye Protokol 781-A Bulldog', 'b88b45d6-466b-0285-5e88-45b38b6452c0']
['3. Seviye Protokol 781-A Bulldog', 'd02c80a9-420a-e45e-d20a-519d7764b0ae']
['4. Seviye Protokol 781-A Bulldog', '78665dc8-4a75-76f6-a9e5-97819158eed8']
['5. Seviye Protokol 781-A Bulldog - Yerelleştirilmiş seslendirmeler bölgende farklılık gösterebilir', '282305ae-4707-c58e-bf3a-3cb333c5664d']
['Büyük Çarpışma Bulldog', '94eda9e6-47cf-a0dc-a1f9-03a41f50e5d3']
['Rasgele Favori Kaplama', 'fb79c688-4a07-6f3f-7c1a-948b5b399a3f']
['Sonsuz Bulldog', '5fc3c5e8-470e-7683-b594-6580d5e3d624']
['BULLDOG', 'c8e6ac70-48ef-9d96-d964-a88e8890b885']
['Sonik Patlama Bulldog', '06168395-458e-25f5-7866-80a6a19d1977']
['KONVEKS BULLDOG', '84f8d0f4-4442-5892-6a20-8f83e65a5e96']
['SUALTI BULLDOG', '6f86d77a-43c6-17b5-312f-87bf159076d9']
['Ahşap Bulldog', '0edd85d1-4589-385a-e5e2-84a55ae9860d']
['809. Özel Kuvvet Phantom', 'eb32efb4-4db8-2740-e0ad-659a0cb8d174']
['RGX 11z Pro Phantom', '49a986d0-4a07-b756-331e-babe1b2839d9']
['2. Seviye RGX 11z Pro Phantom', '4194e0af-4f61-f3e0-cf96-258f93cc82f4']
['3. Seviye RGX 11z Pro Phantom', '745fd101-4ba4-a3f7-eeb1-2b9a201721aa']
['4. Seviye RGX 11z Pro Phantom', '9d47f8ab-42fa-167c-7704-3f9f2103ddc6']
['5. Seviye RGX 11z Pro Phantom', 'c97c97b2-4f3b-fb34-32a4-548d32863042']
['Uzaylı Avcısı Phantom', 'c0879eb2-4e41-d7bd-80f7-dd8cb13a1e20']
['2. Seviye Uzaylı Avcısı Phantom', '5b63d322-4fb7-ef6d-c50e-fe89ecc520a8']
['VALORANT GO! 1. CİLT PHANTOM', '30423af3-42f9-d0ba-dee5-0b93704b39c8']
['Spectrum Phantom', '82db01d1-4192-167b-9f53-78ba374c39ac']
['2. Seviye Spectrum Phantom', '8021e6d9-4916-32a9-e2cd-ff9c947a96c5']
['3. Seviye Spectrum Phantom', '831939b1-42e6-6ad3-708b-b58ff2ea64fb']
['4. Seviye Spectrum Phantom', '2a744a2b-4dab-71a6-0e2e-7f84d4cf8365']
['Aztek Güneş Taşı Phantom', 'bebefdf3-43cb-fc4c-cd0a-52a9dd9b035f']
['Champions 2022 Phantom', '524b0c42-47da-e7ca-dc04-85ba285b2e71']
['2. Seviye Champions 2022 Phantom', '3e511130-4d87-06dc-d6b3-45909bcba884']
['3. Seviye Champions 2022 Phantom', '6ce75c5a-4bf8-bdf3-2c13-1a97866c2d9a']
['4. Seviye Champions 2022 Phantom - Oyuncu oyundaki en fazla skoru aldığında silahın haresi açılır.', '2e15c392-4f9a-e7cc-97ba-ae8fa37dfa14']
['Radyant Krizi 001 Phantom', '52c3bbf6-491f-fef1-faa9-e19df06a687c']
['2. Seviye Radyant Krizi 001 Phantom', 'e9084ae2-462e-b567-1439-4797bb26d5f4']
['3. Seviye Radyant Krizi 001 Phantom', '84764cd7-41fd-c3e0-523f-d88d101c40cc']
['NEBULA PHANTOM', '40308b30-4689-9713-52fb-6f8a3534213f']
['Altşehir Phantom', 'bbc68d13-42b8-6f2c-d5b2-e79c291677c5']
['Delipop Phantom', '9f6e4612-433b-aea9-1683-3db7aee90848']
['2. Seviye Delipop Phantom', '07e8bbcb-488e-b038-630f-c3a7c4f4763f']
['3. Seviye Delipop Phantom', '7f54b1ac-49b5-48ec-9926-8a966a0233a5']
['4. Seviye Delipop Phantom', 'dee8b295-4a06-15fb-e952-acb6298d5929']
['Zamanın Ötesi Phantom', 'aeb0ea2e-4f50-6b34-27b0-f2a755d27f6a']
['2. Seviye Zamanın Ötesi Phantom', 'fb9ba36e-4901-e621-cc0b-dba82ba9eded']
['3. Seviye Zamanın Ötesi Phantom', '78f1af5d-45f3-544f-3aec-0bb5f6b0efcf']
['4. Seviye Zamanın Ötesi Phantom', 'cf09f992-4a76-aeb4-7ca6-35b5d823ec81']
['Derin Sular Phantom', '4163056e-40e8-b075-1b9e-2cbe1752c376']
['Karikatürize Phantom', 'f9d54c11-4c6f-575b-5bed-3cb693f6f2ba']
['2. Seviye Karikatürize Phantom', 'e5b46108-4d0a-c614-a845-fea7111beda7']
['Anomali Phantom', '0ff7ff25-42cf-769a-4e6d-bd833121302d']
['2. Seviye Anomali Phantom', '48e976cc-4be8-87c6-2848-dd87bbc0acf8']
['3. Seviye Anomali Phantom', '5791fe6e-4c59-b6ef-a7d4-05b0d7c9aed4']
['4. Seviye Anomali Phantom', '9e2df910-4927-7313-e6b9-639454ef0e91']
['Sermet Phantom', 'f0a2a250-4cab-264b-30b0-8ea0706589ff']
['AKINCI PHANTOM', 'd39a4263-49d3-f2e0-2c13-c299f8644518']
['Hızlı ve Ölümcül Phantom', '4707bae8-4938-71b5-ce5c-52aad3f24d21']
['Takımın Ası Phantom', 'fc4c3dcb-4f6d-5e8e-3dc3-1695f55d24c2']
['Ruh Azabı Phantom', 'a165db9b-4692-ac34-d00b-d39c5fad6f31']
['2. Seviye Ruh Azabı Phantom - Her skorda aktifleşen özel görsel efekt ve ses', 'bf4489ad-4739-555c-2511-7cbcc503566c']
['Asil//2.0 Phantom', '9dc0bdd7-4d88-9360-38d6-3ea62b1daaca']
['2. Seviye Asil//2.0 Phantom', '63295da5-48de-df35-3b77-868a779638a3']
['3. Seviye Asil//2.0 Phantom', '0f68f728-4d09-f66d-73e3-c9a8f2643652']
['4. Seviye Asil//2.0 Phantom', 'ed4773ba-465d-6501-701a-e39d1ba0b97a']
['BUZUL PHANTOM', '66f68f67-4f5e-8188-8ba8-b183e25e93e7']
['PRİZMA PHANTOM', '4845a7ab-4120-ae1c-aec1-9e915a7424b1']
['VAKUR PHANTOM', '645fdae1-4056-e40c-b8e4-a08aea0dfe2f']
['Afet Phantom', '279e0a89-4dd6-b135-cef9-8ebb1df6f2ac']
['2. Seviye Afet Phantom', '9f3ecff5-4662-075d-1684-1eaa7e604fcd']
['3. Seviye Afet Phantom', '770549d5-493b-be86-2b38-098d394d1406']
['4. Seviye Afet Phantom', '9b6f0d5b-4bb9-9b45-2564-a2aac9d2526b']
['KINGDOM PHANTOM', 'a7229cba-4691-62b0-9c40-f59a29817ddc']
['Kohaku ve Matsuba Phantom', 'dd5154b6-434a-9db7-0583-3e9ef8f63319']
['FLAŞ PHANTOM', '19b20b51-472b-e837-e5da-f8a348110dbf']
['SEMAVİ PHANTOM', 'aa610521-4bea-bc0e-1bd4-94b67fd90db6']
['Sarmal Phantom', '04dbf8e5-44fc-73f7-0655-8ca05a47739c']
['MİNİMA PHANTOM', '186d9fbb-400e-665b-e5f3-c08b24b6974f']
['GALERİ PHANTOM', 'f38b2545-4498-48b3-150e-1589e25e7aa7']
['SILVANUS PHANTOM', 'a127c324-4213-23a2-ff77-1284431dad74']
['İyon Phantom', 'b8bb264c-4578-2410-8dfa-6aacfeb318b0']
['2. Seviye İyon Phantom', 'd8168629-4e42-1359-4401-ffbb79f59866']
['3. Seviye İyon Phantom', '1b251e84-47f3-738d-c686-6cb718e66c71']
['4. Seviye İyon Phantom', 'f97aa61f-4119-f21a-621d-589fe5e55b01']
['Oni Phantom', 'c00e786e-4e6f-0ef7-0ce3-32ba9918ba41']
['2. Seviye Oni Phantom', '2c4e829a-4915-e9d8-5c6f-43a39d60afc0']
['3. Seviye Oni Phantom', 'bb07581b-4733-ce33-53d4-3dadc038ca4a']
['4. Seviye Oni Phantom', '1b24255d-4f50-9202-7b6f-f7873db580d1']
['9 Canlı Phantom', '441303a9-40c9-2836-be7b-948f81911b99']
['Alaca Spectre', 'd17aa037-40df-ce4d-1009-59a02323f002']
['Havai Phantom', '24a1644c-4aa9-50cc-9ca3-4aa7be12339d']
['Artizan Phantom', '76f9caa0-40ae-ecd2-5598-53b0beb969c7']
['Protokol 781-A Phantom', 'a7cf8684-41a0-3dd4-e30c-6f9b4b34e635']
['2. Seviye Protokol 781-A Phantom', '2c072ecb-41dc-8e3a-b39d-fc954c0cf450']
['3. Seviye Protokol 781-A Phantom', '91bb9969-4c02-decb-7c01-24aee1efa6d9']
['4. Seviye Protokol 781-A Phantom', '57dbc793-40a4-17e8-db04-95b739411e52']
['5. Seviye Protokol 781-A Phantom - Yerelleştirilmiş seslendirmeler bölgende farklılık gösterebilir', 'a117218e-4f0e-0cca-7758-7ea30b08ac05']
['Rasgele Favori Kaplama', '4728dfee-4879-381c-1db1-89b839cbd3d4']
['Işık Dalgası Phantom', '1452386a-47ab-bd8a-775d-9194020ca52d']
['Kar Diyarı Phantom', '00eb5b5b-4697-44b5-a926-7e86b730e812']
['Yağmacı Phantom', '4c18d802-409d-ec20-f630-d3abfcaa37c7']
['2. Seviye Yağmacı Phantom', '8f9e6d07-40aa-7ae0-eedf-d391fcf9a00e']
['3. Seviye Yağmacı Phantom', 'a32255f0-4c5a-e518-b83e-3585564e4abb']
['4. Seviye Yağmacı Phantom', '0e321f27-4803-1df8-7414-78b96f1afe7e']
['Özel Harekât Phantom', '5be0b43b-4e66-ab8a-91d9-be9137e2e1c2']
['2. Seviye Özel Harekât Phantom', 'a8509c8d-4061-1c57-60a5-61a025f28408']
['3. Seviye Özel Harekât Phantom', 'b64d1e55-402d-de3c-6ad5-ffbc9c201d1f']
['4. Seviye Özel Harekât Phantom', 'e47e2e77-4923-dbe8-ab46-aba9af1a029e']
