['Odin Xenocaçador', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['Vandal Champions 2021 Nível 4 – Aura ativada apenas quando a pessoa tem a maior quantidade de abates da partida', '4c8a49bd-4118-9523-6612-4a924651b4a9']
['Vandal Origem', '1969e379-40ae-b28a-6fb3-819873a24fb9']
['Vandal Origem Nível 2', '2ee1c6e6-4213-723f-1fd8-c9a76c00ff72']
['Vandal Origem Nível 3', '43e8a873-4ddf-1c73-6d91-3786b9fb3145']
['Vandal Origem Nível 4', '66c8a651-4a8c-aa44-1af0-088118b9a975']
['Vandal Odisseia nas Estrelas', '214578e1-4895-3b35-0d3d-85a8beac1b59']
['Vandal Glitchpop', '7e44fc1b-44fa-cdda-8491-f8a5bca1cfa3']
['Vandal Glitchpop Nível 2', 'c01d91bb-4203-4f78-0b6a-1aae9abb458b']
['Vandal Glitchpop Nível 3', '084e16e5-4340-618f-09ba-128331f9b8cc']
['Vandal Glitchpop Nível 4', '7a322cff-4acb-15c4-5006-049655bfa22f']
['Vandal ChronoVoid', '59d61899-4573-65ea-0e42-2ea6d324d32b']
['Vandal ChronoVoid Nível 2', '6553ba0a-4d44-799e-69cc-a89aae212409']
['Vandal ChronoVoid Nível 3', 'bd2d47b0-42f8-6684-bf01-6c886faff0c8']
['Vandal ChronoVoid Nível 4', 'a722bac4-457a-959b-3770-e0b3eaf6528e']
['Vandal Prelúdio do Caos', '1010fb40-4344-6ec8-2a8a-33bf076339b6']
['Vandal Prelúdio do Caos Nível 2', '273db50c-41fd-99eb-89fa-d0969ef739bb']
['Vandal Prelúdio do Caos Nível 3', '0b2b3fb5-415d-ed9e-d865-5aa90a28894e']
['Vandal Prelúdio do Caos Nível 4', 'a4021006-49be-e1f3-b2e1-cc8635694d0c']
['Vandal Ancifogo', 'b3d3ff38-4202-20d8-2f41-c783477e5636']
['Vandal Ancifogo Nível 2', 'd86e4684-47d3-9a2f-9bd4-01ae3fd3e183']
['Vandal Ancifogo Nível 3', '77569f90-4e7f-7d91-bd18-2aa12bdba709']
['Vandal Ancifogo Nível 4', '4fb025db-471f-3891-6e30-b98866abb2f9']
['Vandal Sarmad', 'becdafdf-4d4b-0a8c-75d1-b8908db15ce5']
['Vandal Nitro', 'f910a11a-40ab-d799-3782-c58674f7ada0']
['Vandal Colmeia', '7383ca56-490a-f9f5-f126-5ea0dcd4a242']
['Vandal Venturi', '5e8a67a4-42d0-d91b-7ef4-168df818b6ac']
['Vandal Lúgubre', '851b390a-4852-66bd-8b72-4f96f0919710']
['Vandal Lúgubre Nível 2', 'bf44b39a-4f54-a919-6ed8-b5b016cf16f2']
['Vandal Lúgubre Nível 3', 'e578e7ca-4066-331e-fd72-80855afa9f1f']
['Vandal Lúgubre Nível 4', '9ed2bd1c-46b9-fdf5-b445-5f91d82fc441']
['Vandal Ás na Manga', '258f4b78-4286-a93b-309a-0bada49c06e1']
['Vandal Delíquio', '3d1bc8e8-4759-148c-7775-5a96e8c975fd']
['Vandal .EXE', 'c9ee9a00-453d-a358-8501-3ebb7ca3765e']
['Vandal .SYS', 'e9953add-4069-d71b-447a-a8ad94fe6526']
['Vandal Horizonte', '26eee656-4f8d-bdd3-e4fe-ae9e808a3408']
['Vandal Sublime', 'c9678d8c-4327-f397-b0ec-dca3c3d6fb15']
['Vandal Sublime Nível 2', 'c6f9c7ef-4a35-fa14-c9ed-bd80e37be826']
['Vandal Sublime Nível 3', 'fc332008-475f-5555-0155-4cb3bce714ff']
['Vandal Sublime Nível 4', '22821a32-4e04-ad4a-1893-95904c08b264']
['Vandal Avalanche', 'fbfc273b-4c12-961a-a4fb-978b43be81a9']
['Vandal Prismática II', 'd0c07243-4afa-decc-7c5b-4b994f1321ee']
['Vandal K/TAC', '5c21371e-46e1-a0b2-2e49-728281cfaaed']
['Vandal Nunca Olvidados', 'a2a15c4e-4102-41bd-102d-378dec6cee7f']
['Vandal Luxo', '1878bbc9-409e-66b4-346b-c3997a54df57']
['Vandal Bosque Místico', '9d501eec-4084-5d44-32ef-6e8ed5b0ed49']
['Vandal Fera Incendiária', 'aae492eb-4d6d-097d-1d47-4fa31ced9751']
['Vandal Fera Incendiária Nível 2 – \nreproduz som e efeitos visuais personalizados toda vez que abater um inimigo.', '7c3e8050-40ce-9a75-c1ef-7fa270990ceb']
['Vandal Íon', 'a8c10620-46a8-794e-be55-a0a13edb8d44']
['Vandal Íon Nível 2', '3db5cce4-41e7-b538-4d0d-82bd64362480']
['Vandal Íon Nível 3', 'fefee60e-4270-0ea8-6187-3aaf57196b05']
['Vandal Íon Nível 4', 'cc63e209-471d-26e8-4b8c-b9aba3bb1b32']
['Vandal Criostase', '690bcddd-4b2e-d856-7b4f-0e81f7c21133']
['Vandal Criostase Nível 2', 'd6f6111f-467a-addd-25fa-f9ac9d01d8f9']
['Vandal Criostase Nível 3', '14f8c385-4ed1-e5a1-f129-6c8914bd16af']
['Vandal Luna', 'f77b8cbc-46ca-549b-b3a1-92884c2a2645']
['Vandal Sensação', 'f4bfff96-487a-cf9e-08cc-d590d962c4e6']
['Skin favorita aleatória', 'b5f4ed55-4e7f-f561-b365-5397f9e5890b']
['Vandal Sakura', '3aeef60b-48fb-02aa-31b1-068aeb351213']
['Vandal Diagrama', '76c30002-4884-8193-dcf6-93a00b10bc15']
['Vandal Licantropo', 'f158e7d9-4404-1e88-747e-bf98da9a744b']
['Vandal Sentinelas da Luz', '968efd06-4549-65f4-9fb1-3f90d612e428']
['Vandal Sentinelas da Luz Nível 2', 'bfa45341-4338-5ebd-3bec-8d95f6c6feb4']
['Vandal Sentinelas da Luz Nível 3', 'd8b58c68-45e6-65f4-01bd-6baaeeef667f']
['Vandal Sentinelas da Luz Nível 4', 'e0dfb9d6-42a4-1463-cc80-00ac9df10c9e']
['Vandal Saqueador', 'ba42fe63-457a-78ce-4499-47950a698129']
['Vandal Saqueador Nível 2', '6f9ba692-4618-d0e6-3099-42b4dc5fce89']
['Vandal Saqueador Nível 3', '98597b95-451c-70cf-46fb-31b4c5a54394']
['Vandal Saqueador Nível 4', '8c282914-446a-3e99-095a-cd97df201c8b']
['Vandal Reinos Vinculados', '1d2e2fd5-4fef-61f2-a4ec-92819d16fcf2']
['Vandal Cavalaria', '8017a235-48d8-9f2a-42c2-7a865157c587']
['Vandal Titânica', '17f044eb-4016-5f86-f4f7-1095cc292a15']
['Vandal', '1ab72e66-4da3-33a0-164f-908113e075a4']
['Vandal Oceânica', 'bd1b4801-4bf2-1444-82ce-3ca3636159d4']
['Vandal Ego', '94cf6dd4-42c5-f70e-1652-dca05fa42ad6']
['Vandal Desolação', 'a6d41f01-4b8b-444d-b9da-3eaaf3d7e262']
['Vandal Paraíso Invernal', '496b0096-4000-c1fc-102d-70a8b769d0d1']
['Bulldog Araxys', '45e51d17-480a-6e28-cdd2-459d7758bea8']
['Bulldog Araxys Nível 2', '5df3789a-47df-8dc2-91bb-41aa6335346d']
['Bulldog Araxys Nível 3', 'e9e02c90-43c9-f33d-7f11-16a14f51149c']
['Bulldog Araxys Nível 4', '1dcac15f-4bc2-b6b8-bada-f4b0f2cd088c']
['Bulldog Aristocrata', '3bf9d39f-46b4-ba23-e079-488d799b9416']
['Bulldog Missão Espacial', '38dbcca0-493d-70eb-ef89-d281f33efc94']
['Bulldog Espectro', '43854c54-4263-571c-9be6-52b6d50d3190']
['Bulldog Espectro Nível 2', 'd022056d-4739-4cf3-4c18-c893948303a1']
['Bulldog Espectro Nível 3', '674ca080-4624-3550-d1f3-dfac17d40918']
['Bulldog Espectro Nível 4', 'c6ad47ec-4078-2902-fdfe-2eae352bf4f4']
['Bulldog Artilheira', '842dbe37-4bc7-95b3-26d7-a0af65615d5e']
['Bulldog Pedra Rúnica', '85e74e8f-4360-2961-dd91-52bb854e495f']
['Bulldog Suburbano', '89b68205-4fe5-2434-a731-e5a734bd4a7a']
['Bulldog Glitchpop', '4a5ad8cd-4684-a47c-b393-ce9c6760d21a']
['Bulldog Glitchpop Nível 2', '44c5b5cc-4931-b4af-1a4a-17ab9ec2b89e']
['Bulldog Glitchpop Nível 3', '49ea5740-4731-01c5-a68e-cba6b86b1049']
['Bulldog Glitchpop Nível 4', 'd83d2283-4c50-ee72-3a8b-51b6a05aed15']
['Bulldog Corrida', '8e032580-414f-7ab4-7efb-f6ac7d2bc2f1']
['Bulldog Velocidade', '7561a8e0-4cc4-8644-a88b-48a88790b36f']
['Bulldog Cintilação', '41a683ee-4d8d-51cb-db4f-06bfb2371d86']
['Bulldog Horizonte', '079f6046-49c3-72e3-bcfa-a5b6d01910dc']
['Bulldog K/TAC', 'ddf3064f-4c05-d0fb-2f62-f8be055cb934']
['Bulldog Couture', '49fc11b3-40a9-29ff-a701-63a6f59e2a0f']
['Bulldog Nunca Olvidados', '47815b56-43d7-1312-8b3e-5da445f71e31']
['Bulldog Gênese', 'c5711665-4126-fa98-510f-5f8c82f52911']
['Bulldog Criostase', '40f6c0c2-4ad2-6864-a0e6-2e852615f991']
['Bulldog Criostase Nível 2', 'ed3b769b-47af-7b34-7e16-5a9ff7c119cc']
['Bulldog Criostase Nível 3', '8946d843-447b-ad44-3cce-44bb3c88489c']
['Bulldog Matizes', '9db51105-45a7-d05e-6d7d-08962c65c386']
['Bulldog POLYfox', '0fce64bd-42c9-1755-8c67-e3a8cdd49de7']
['Bulldog Protocolo 781-A', '544ddf0f-42c6-e410-c9db-fc8b3b2c84d4']
['Bulldog Protocolo 781-A Nível 2', 'b88b45d6-466b-0285-5e88-45b38b6452c0']
['Bulldog Protocolo 781-A Nível 3', 'd02c80a9-420a-e45e-d20a-519d7764b0ae']
['Bulldog Protocolo 781-A Nível 4', '78665dc8-4a75-76f6-a9e5-97819158eed8']
['Bulldog Protocolo 781-A Nível 5 – dublagem localizada pode variar na sua região', '282305ae-4707-c58e-bf3a-3cb333c5664d']
['Bulldog Colisão Primária', '94eda9e6-47cf-a0dc-a1f9-03a41f50e5d3']
['Skin favorita aleatória', 'fb79c688-4a07-6f3f-7c1a-948b5b399a3f']
['Bulldog Infinito', '5fc3c5e8-470e-7683-b594-6580d5e3d624']
['Bulldog', 'c8e6ac70-48ef-9d96-d964-a88e8890b885']
['Bulldog Gridcrash', '06168395-458e-25f5-7866-80a6a19d1977']
['Bulldog Convexo', '84f8d0f4-4442-5892-6a20-8f83e65a5e96']
['Bulldog Oceânica', '6f86d77a-43c6-17b5-312f-87bf159076d9']
['Bulldog Verniz', '0edd85d1-4589-385a-e5e2-84a55ae9860d']
['Phantom Força-Tarefa 809', 'eb32efb4-4db8-2740-e0ad-659a0cb8d174']
['Phantom RGX 11z Pro', '49a986d0-4a07-b756-331e-babe1b2839d9']
['Phantom RGX 11z Pro Nível 2', '4194e0af-4f61-f3e0-cf96-258f93cc82f4']
['Phantom RGX 11z Pro Nível 3', '745fd101-4ba4-a3f7-eeb1-2b9a201721aa']
['Phantom RGX 11z Pro Nível 4', '9d47f8ab-42fa-167c-7704-3f9f2103ddc6']
['Phantom RGX 11z Pro Nível 5', 'c97c97b2-4f3b-fb34-32a4-548d32863042']
['Phantom Xenocaçador', 'c0879eb2-4e41-d7bd-80f7-dd8cb13a1e20']
['Phantom Xenocaçador Nível 2', '5b63d322-4fb7-ef6d-c50e-fe89ecc520a8']
['Phantom VALORANT GO! Vol. 1', '30423af3-42f9-d0ba-dee5-0b93704b39c8']
['Phantom Espectro', '82db01d1-4192-167b-9f53-78ba374c39ac']
['Phantom Espectro Nível 2', '8021e6d9-4916-32a9-e2cd-ff9c947a96c5']
['Phantom Espectro Nível 3', '831939b1-42e6-6ad3-708b-b58ff2ea64fb']
['Phantom Espectro Nível 4', '2a744a2b-4dab-71a6-0e2e-7f84d4cf8365']
['Phantom Piedra del Sol', 'bebefdf3-43cb-fc4c-cd0a-52a9dd9b035f']
['Phantom Champions 2022', '524b0c42-47da-e7ca-dc04-85ba285b2e71']
['Phantom Champions 2022 Nível 2', '3e511130-4d87-06dc-d6b3-45909bcba884']
['Phantom Champions 2022 Nível 3', '6ce75c5a-4bf8-bdf3-2c13-1a97866c2d9a']
['Champions 2022: Phantom Nível 4 – A Aura fica ativa apenas quando o jogador tem o maior número de abates da partida', '2e15c392-4f9a-e7cc-97ba-ae8fa37dfa14']
['Phantom Crise Radiante 001', '52c3bbf6-491f-fef1-faa9-e19df06a687c']
['Phantom Crise Radiante 001 Nível 2', 'e9084ae2-462e-b567-1439-4797bb26d5f4']
['Phantom Crise Radiante 001 Nível 3', '84764cd7-41fd-c3e0-523f-d88d101c40cc']
['Phantom Nebulosa', '40308b30-4689-9713-52fb-6f8a3534213f']
['Phantom Suburbano', 'bbc68d13-42b8-6f2c-d5b2-e79c291677c5']
['Phantom Glitchpop', '9f6e4612-433b-aea9-1683-3db7aee90848']
['Phantom Glitchpop Nível 2', '07e8bbcb-488e-b038-630f-c3a7c4f4763f']
['Phantom Glitchpop Nível 3', '7f54b1ac-49b5-48ec-9926-8a966a0233a5']
['Phantom Glitchpop Nível 4', 'dee8b295-4a06-15fb-e952-acb6298d5929']
['Phantom ChronoVoid', 'aeb0ea2e-4f50-6b34-27b0-f2a755d27f6a']
['Phantom ChronoVoid Nível 2', 'fb9ba36e-4901-e621-cc0b-dba82ba9eded']
['Phantom ChronoVoid Nível 3', '78f1af5d-45f3-544f-3aec-0bb5f6b0efcf']
['Phantom ChronoVoid Nível 4', 'cf09f992-4a76-aeb4-7ca6-35b5d823ec81']
['Phantom Abissal', '4163056e-40e8-b075-1b9e-2cbe1752c376']
['Phantom Rabisquinhos', 'f9d54c11-4c6f-575b-5bed-3cb693f6f2ba']
['Phantom Rabisquinhos Nível 2', 'e5b46108-4d0a-c614-a845-fea7111beda7']
['Phantom Singularidade', '0ff7ff25-42cf-769a-4e6d-bd833121302d']
['Phantom Singularidade Nível 2', '48e976cc-4be8-87c6-2848-dd87bbc0acf8']
['Phantom Singularidade Nível 3', '5791fe6e-4c59-b6ef-a7d4-05b0d7c9aed4']
['Phantom Singularidade Nível 4', '9e2df910-4927-7313-e6b9-639454ef0e91']
['Phantom Sarmad', 'f0a2a250-4cab-264b-30b0-8ea0706589ff']
['Phantom Corrida', 'd39a4263-49d3-f2e0-2c13-c299f8644518']
['Phantom Velocidade', '4707bae8-4938-71b5-ce5c-52aad3f24d21']
['Phantom Ás na Manga', 'fc4c3dcb-4f6d-5e8e-3dc3-1695f55d24c2']
['Phantom Ceifador', 'a165db9b-4692-ac34-d00b-d39c5fad6f31']
['Phantom Ceifador Nível 2 – reproduz som e efeitos visuais personalizados toda vez que abater um inimigo.', 'bf4489ad-4739-555c-2511-7cbcc503566c']
['Phantom Sublime//2.0', '9dc0bdd7-4d88-9360-38d6-3ea62b1daaca']
['Phantom Sublime//2.0 Nível 2', '63295da5-48de-df35-3b77-868a779638a3']
['Phantom Sublime//2.0 Nível 3', '0f68f728-4d09-f66d-73e3-c9a8f2643652']
['Phantom Sublime//2.0 Nível 4', 'ed4773ba-465d-6501-701a-e39d1ba0b97a']
['Phantom Avalanche', '66f68f67-4f5e-8188-8ba8-b183e25e93e7']
['Phantom Prismático', '4845a7ab-4120-ae1c-aec1-9e915a7424b1']
['Phantom Serenidade', '645fdae1-4056-e40c-b8e4-a08aea0dfe2f']
['Phantom Ruína', '279e0a89-4dd6-b135-cef9-8ebb1df6f2ac']
['Phantom Ruína Nível 2', '9f3ecff5-4662-075d-1684-1eaa7e604fcd']
['Phantom Ruína Nível 3', '770549d5-493b-be86-2b38-098d394d1406']
['Phantom Ruína Nível 4', '9b6f0d5b-4bb9-9b45-2564-a2aac9d2526b']
['Phantom Kingdom', 'a7229cba-4691-62b0-9c40-f59a29817ddc']
['Phantom Kohaku e Matsuba', 'dd5154b6-434a-9db7-0583-3e9ef8f63319']
['Phantom Relâmpago', '19b20b51-472b-e837-e5da-f8a348110dbf']
['Phantom Celestial', 'aa610521-4bea-bc0e-1bd4-94b67fd90db6']
['Phantom Spline', '04dbf8e5-44fc-73f7-0655-8ca05a47739c']
['Phantom Mínima', '186d9fbb-400e-665b-e5f3-c08b24b6974f']
['Phantom Galeria', 'f38b2545-4498-48b3-150e-1589e25e7aa7']
['Phantom Bosque Místico', 'a127c324-4213-23a2-ff77-1284431dad74']
['Phantom Íon', 'b8bb264c-4578-2410-8dfa-6aacfeb318b0']
['Phantom Íon Nível 2', 'd8168629-4e42-1359-4401-ffbb79f59866']
['Phantom Íon Nível 3', '1b251e84-47f3-738d-c686-6cb718e66c71']
['Phantom Íon Nível 4', 'f97aa61f-4119-f21a-621d-589fe5e55b01']
['Phantom Oni', 'c00e786e-4e6f-0ef7-0ce3-32ba9918ba41']
['Phantom Oni Nível 2', '2c4e829a-4915-e9d8-5c6f-43a39d60afc0']
['Phantom Oni Nível 3', 'bb07581b-4733-ce33-53d4-3dadc038ca4a']
['Phantom Oni Nível 4', '1b24255d-4f50-9202-7b6f-f7873db580d1']
['Phantom 7 Vidas', '441303a9-40c9-2836-be7b-948f81911b99']
['Spectre Matizes', 'd17aa037-40df-ce4d-1009-59a02323f002']
['Phantom Aero', '24a1644c-4aa9-50cc-9ca3-4aa7be12339d']
['Phantom Artesã', '76f9caa0-40ae-ecd2-5598-53b0beb969c7']
['Phantom Protocolo 781-A', 'a7cf8684-41a0-3dd4-e30c-6f9b4b34e635']
['Phantom Protocolo 781-A Nível 2', '2c072ecb-41dc-8e3a-b39d-fc954c0cf450']
['Phantom Protocolo 781-A Nível 3', '91bb9969-4c02-decb-7c01-24aee1efa6d9']
['Phantom Protocolo 781-A Nível 4', '57dbc793-40a4-17e8-db04-95b739411e52']
['Phantom Protocolo 781-A Nível 5 – dublagem localizada pode variar na sua região', 'a117218e-4f0e-0cca-7758-7ea30b08ac05']
['Skin favorita aleatória', '4728dfee-4879-381c-1db1-89b839cbd3d4']
['Phantom Cintilante', '1452386a-47ab-bd8a-775d-9194020ca52d']
['Phantom Nevada', '00eb5b5b-4697-44b5-a926-7e86b730e812']
['Phantom Saqueador', '4c18d802-409d-ec20-f630-d3abfcaa37c7']
['Phantom Saqueador Nível 2', '8f9e6d07-40aa-7ae0-eedf-d391fcf9a00e']
['Phantom Saqueador Nível 3', 'a32255f0-4c5a-e518-b83e-3585564e4abb']
['Phantom Saqueador Nível 4', '0e321f27-4803-1df8-7414-78b96f1afe7e']
['Phantom Reconhecimento', '5be0b43b-4e66-ab8a-91d9-be9137e2e1c2']
['Phantom Reconhecimento Nível 2', 'a8509c8d-4061-1c57-60a5-61a025f28408']
['Phantom Reconhecimento Nível 3', 'b64d1e55-402d-de3c-6ad5-ffbc9c201d1f']
['Phantom Reconhecimento Nível 4', 'e47e2e77-4923-dbe8-ab46-aba9af1a029e']
['Phantom Infinito', 'c71c8e2e-481f-c09f-57ef-91846a982cb5']
['Phantom', '871e73ed-452d-eb5a-3d6b-1d87060f35ce']
['Phantom Tigris', '437fae46-4145-c8a5-14d7-9c8a05bddb05']
['Phantom BlastX', '7b534393-40b0-38d0-1ffc-2b8b78708264']
['Phantom BlastX Nível 2', '5725e2ca-4889-cd60-67e9-b4b968a2f461']
['Phantom BlastX Nível 3', '0f690150-4a9a-1a0d-2ec2-c596696cb311']
['Phantom BlastX Nível 4', '2d8a7310-412c-448b-3475-f681999e3920']
['Phantom Paraíso Invernal', '63a65008-4266-1117-fe3d-d1bf290b7da9']
['Judge Piedra del Sol', 'd73d6605-40b3-6a79-ad77-adbfc2e20742']
['Judge Suburbano', 'f27be4ed-4fa5-9c3a-592a-b98bb455fd12']
['Judge Glitchpop', '712c7a37-4524-0b27-dfdd-4e95181dd36e']
